cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8,ip,presult,p2
2015-04-06,2081.69,0.0,0.713,1.068,-0.218,-0.469,0.008,0.713,0.669
2015-04-02,2066.96,0.713,0.353,-0.045,0.28800000000000003,-1.78,0.030,0.353,0.836
2015-04-01,2059.69,0.353,-0.397,-1.273,0.172,-2.295,0.054,-0.397,1.707
2015-03-31,2067.89,-0.397,-0.88,0.33299999999999996,0.332,-1.023,0.062,0.880,2.341
2015-03-30,2086.24,-0.88,1.224,1.463,-0.251,-0.632,-0.006,1.224,1.223
2015-03-27,2061.02,1.224,0.237,-0.001,-2.062,-0.639,0.009,0.237,-1.457
2015-03-26,2056.15,0.237,-0.23800000000000002,-1.69,-2.4619999999999997,-1.203,0.023,-0.238,-2.308
2015-03-25,2061.05,-0.23800000000000002,-1.456,-2.061,-1.351,0.373,0.058,-1.456,-1.897
2015-03-24,2091.5,-1.456,-0.614,-0.7859999999999999,-0.381,1.237,0.037,-0.614,0.458
